,CustomerId,Recency,Frequency,Monetary,Cluster,R_Score,F_Score,M_Score,RFM_Score,Segment,Churned
0,12346,165,11,372.86,1,2,5,2,252,At Risk,True
1,12347,3,2,1323.32,0,5,2,4,524,Potential Loyalists,False
2,12348,74,1,222.16,0,2,1,1,211,Hibernating,False
3,12349,43,3,2671.14,0,3,3,5,335,Potential Loyalists,False
4,12351,11,1,300.93,0,5,1,2,512,Recent Customers,False
5,12352,11,2,343.8,0,5,2,2,522,Potential Loyalists,False
6,12353,44,1,317.76,0,3,1,2,312,Promising,False
7,12355,203,1,488.21000000000004,1,1,1,2,112,Hibernating,True
8,12356,16,3,3560.3,0,4,3,5,435,Potential Loyalists,False
9,12357,24,2,12079.99,0,4,2,5,425,Potential Loyalists,False
10,12358,11,3,2719.01,0,5,3,5,535,Potential Loyalists,False
11,12359,61,6,2563.36,0,3,4,5,345,Loyal Customers,False
12,12360,15,5,1590.83,0,5,4,4,544,Champions,False
13,12361,98,3,321.35,0,2,3,2,232,At Risk,True
14,12362,374,1,130.0,1,1,1,1,111,Hibernating,True
15,12366,269,1,500.24,1,1,1,3,113,Others,True
16,12368,264,1,917.6999999999999,1,1,1,3,113,Others,True
17,12369,49,3,1791.15,0,3,3,4,334,Potential Loyalists,False
18,12370,260,3,774.62,1,1,3,3,133,At Risk,True
19,12371,45,3,2179.42,0,3,3,5,335,Potential Loyalists,False
20,12373,260,2,763.0500000000001,1,1,2,3,123,At Risk,True
21,12374,57,3,2246.29,0,3,3,5,335,Potential Loyalists,False
22,12376,25,2,503.15,0,4,2,3,423,Potential Loyalists,False
23,12377,17,2,1798.2,0,4,2,4,424,Potential Loyalists,False
24,12378,198,1,1407.7,1,1,1,4,114,Others,True
25,12379,58,2,767.98,0,3,2,3,323,Potential Loyalists,False
26,12380,101,7,6951.49,0,2,5,5,255,At Risk,True
27,12385,15,1,1938.4,0,5,1,4,514,Recent Customers,False
28,12386,2,1,258.9,0,5,1,2,512,Recent Customers,False
29,12387,51,1,143.94,0,3,1,1,311,Promising,False
30,12388,81,2,1120.45,0,2,2,4,224,At Risk,False
31,12389,38,3,1433.33,0,3,3,4,334,Potential Loyalists,False
32,12391,100,5,2285.18,0,2,4,5,245,At Risk,True
33,12392,227,1,234.75000000000003,1,1,1,1,111,Hibernating,True
34,12393,18,2,816.85,0,4,2,3,423,Potential Loyalists,False
35,12395,7,4,2048.64,0,5,4,4,544,Champions,False
36,12396,310,1,931.43,1,1,1,3,113,Others,True
37,12399,21,3,853.65,0,4,3,3,433,Potential Loyalists,False
38,12400,50,1,205.25,0,3,1,1,311,Promising,False
39,12402,28,5,1031.3,0,4,4,4,444,Champions,False
40,12403,157,1,591.6600000000001,1,2,1,3,213,Others,True
41,12404,318,1,63.24,1,1,1,1,111,Hibernating,True
42,12406,35,3,2975.06,0,4,3,5,435,Potential Loyalists,False
43,12408,21,3,1452.22,0,4,3,4,434,Potential Loyalists,False
44,12409,56,4,12346.619999999999,0,3,4,5,345,Loyal Customers,False
45,12410,138,1,320.38,0,2,1,2,212,Hibernating,True
46,12411,45,1,346.9,0,3,1,2,312,Promising,False
47,12412,38,3,1370.05,0,3,3,4,334,Potential Loyalists,False
48,12413,38,1,241.35,0,3,1,1,311,Promising,False
49,12414,99,3,390.0,0,2,3,2,232,At Risk,True
50,12415,11,7,19543.84,0,5,5,5,555,Champions,False
51,12416,292,1,202.56,1,1,1,1,111,Hibernating,True
52,12417,46,11,3148.31,0,3,5,5,355,Loyal Customers,False
53,12418,49,3,1352.62,0,3,3,4,334,Potential Loyalists,False
54,12419,21,2,503.01,0,4,2,3,423,Potential Loyalists,False
55,12421,51,2,291.56,0,3,2,2,322,Potential Loyalists,False
56,12422,30,14,4428.24,0,4,5,5,455,Champions,False
57,12423,23,2,763.08,0,4,2,3,423,Potential Loyalists,False
58,12424,58,2,1579.07,0,3,2,4,324,Potential Loyalists,False
59,12425,84,1,964.21,0,2,1,3,213,Others,False
60,12426,298,1,762.48,1,1,1,3,113,Others,True
61,12427,7,1,303.5,0,5,1,2,512,Recent Customers,False
62,12429,1,5,3735.51,0,5,4,5,545,Champions,False
63,12431,9,13,4370.52,0,5,5,5,555,Champions,False
64,12433,2,5,7205.39,0,5,4,5,545,Champions,False
65,12434,17,1,297.29,0,4,1,2,412,Recent Customers,False
66,12435,32,4,6096.04,0,4,4,5,445,Champions,False
67,12437,31,21,7731.99,0,4,5,5,455,Champions,False
68,12439,318,2,1142.88,1,1,2,4,124,At Risk,True
69,12440,98,2,859.2,0,2,2,3,223,At Risk,True
70,12441,2,1,173.55,0,5,1,1,511,Recent Customers,False
71,12443,368,1,485.31,1,1,1,2,112,Hibernating,True
72,12445,56,1,301.58000000000004,0,3,1,2,312,Promising,False
73,12449,46,2,768.6,0,3,2,3,323,Potential Loyalists,False
74,12450,35,3,490.32,0,4,3,2,432,Potential Loyalists,False
75,12451,99,3,3634.36,0,2,3,5,235,At Risk,True
76,12454,31,4,13151.44,0,4,4,5,445,Champions,False
77,12455,81,4,3413.09,0,2,4,5,245,At Risk,False
78,12457,71,1,632.68,0,3,1,3,313,Promising,False
79,12458,63,2,830.09,0,3,2,3,323,Potential Loyalists,False
80,12459,241,1,454.36,1,1,1,2,112,Hibernating,True
81,12460,92,1,326.65,0,2,1,2,212,Hibernating,True
82,12466,318,1,56.73,1,1,1,1,111,Hibernating,True
83,12467,59,1,132.8,0,3,1,1,311,Promising,False
84,12468,162,3,2941.2,1,2,3,5,235,At Risk,True
85,12469,158,2,3070.54,1,2,2,5,225,At Risk,True
86,12470,325,1,211.95,1,1,1,1,111,Hibernating,True
87,12471,10,49,20129.54,3,5,5,5,555,Champions,False
