,CustomerId,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Churned
0,12346,326,12,77556.46,2,5,5,255,At Risk,1,True
1,12347,2,8,4921.53,5,4,5,545,Champions,1,False
2,12348,75,5,2019.4,3,4,4,344,Loyal Customers,1,False
3,12349,19,4,4428.69,5,3,5,535,Potential Loyalists,1,False
4,12350,310,1,334.4,2,1,2,212,Hibernating,0,True
5,12351,375,1,300.93,2,1,2,212,Hibernating,0,True
6,12352,36,10,2849.84,4,5,4,454,Champions,1,False
7,12353,204,2,406.76,2,2,2,222,At Risk,1,True
8,12354,232,1,1079.4,2,1,3,213,Others,1,True
9,12355,214,2,947.61,2,2,3,223,At Risk,1,True
10,12356,23,6,6371.73,4,4,5,445,Champions,1,False
11,12357,33,3,18287.66,4,3,5,435,Potential Loyalists,1,False
12,12358,2,5,3887.07,5,4,5,545,Champions,1,False
13,12359,58,10,8873.39,4,5,5,455,Champions,1,False
14,12360,52,8,4252.89,4,4,5,445,Champions,1,False
15,12361,287,4,511.25,2,3,2,232,At Risk,0,True
16,12362,3,11,5356.23,5,5,5,555,Champions,1,False
17,12363,110,2,552.0,3,2,2,322,Potential Loyalists,1,False
18,12364,8,4,1313.1,5,3,4,534,Potential Loyalists,1,False
19,12365,291,2,641.38,2,2,3,223,At Risk,0,True
20,12366,634,1,500.24,1,1,2,112,Hibernating,0,True
21,12367,4,1,168.9,5,1,1,511,Recent Customers,1,False
22,12368,628,1,917.6999999999999,1,1,3,113,Others,0,True
23,12369,413,3,1791.15,1,3,4,134,At Risk,0,True
24,12370,51,7,4316.56,4,4,5,445,Champions,1,False
25,12371,45,5,4067.38,4,4,5,445,Champions,1,False
26,12372,72,3,1298.04,3,3,4,334,Potential Loyalists,1,False
27,12373,311,3,1127.65,2,3,3,233,At Risk,0,True
28,12374,25,4,2989.2200000000003,4,3,5,435,Potential Loyalists,1,False
29,12375,11,2,457.5,5,2,2,522,Potential Loyalists,1,False
30,12376,390,2,503.15,2,2,2,222,At Risk,0,True
31,12377,315,4,3426.32,2,3,5,235,At Risk,0,True
32,12378,130,2,5416.32,3,2,5,325,Potential Loyalists,1,False
33,12379,82,4,1620.22,3,3,4,334,Potential Loyalists,1,False
34,12380,22,11,9676.300000000001,4,5,5,455,Champions,1,False
35,12381,5,5,1845.31,5,4,4,544,Champions,1,False
36,12383,185,5,1850.56,3,4,4,344,Loyal Customers,1,True
37,12384,29,2,585.27,4,2,2,422,Potential Loyalists,1,False
38,12385,379,1,1938.4,2,1,4,214,Others,0,True
39,12386,338,2,401.9,2,2,2,222,At Risk,0,True
40,12387,415,1,143.94,1,1,1,111,Hibernating,0,True
41,12388,16,8,3901.11,5,4,5,545,Champions,1,False
42,12389,403,3,1433.33,2,3,4,234,At Risk,0,True
43,12390,80,1,549.84,3,1,2,312,Promising,1,False
44,12391,22,6,2724.84,4,4,4,444,Champions,1,False
45,12392,591,1,234.75000000000003,1,1,1,111,Hibernating,0,True
46,12393,72,6,2399.4500000000003,3,4,4,344,Loyal Customers,1,False
47,12394,64,2,1272.48,3,2,4,324,Potential Loyalists,1,False
48,12395,19,15,4721.17,5,5,5,555,Champions,1,False
49,12396,674,1,931.43,1,1,3,113,Others,0,True
50,12397,36,2,2409.9,4,2,4,424,Potential Loyalists,1,False
51,12398,46,1,1635.6599999999999,4,1,4,414,Recent Customers,1,False
52,12399,119,7,1962.3,3,4,4,344,Loyal Customers,1,False
53,12400,414,1,205.25,1,1,1,111,Hibernating,0,True
54,12401,303,1,84.3,2,1,1,211,Hibernating,0,True
55,12402,323,6,1256.9,2,4,4,244,At Risk,0,True
56,12403,50,2,1019.36,4,2,3,423,Potential Loyalists,1,False
57,12404,682,1,63.24,1,1,1,111,Hibernating,0,True
58,12405,149,1,1710.39,3,1,4,314,Promising,1,False
59,12406,22,5,6390.36,4,4,5,445,Champions,1,False
60,12407,50,5,1708.1200000000001,4,4,4,444,Champions,1,False
61,12408,33,8,4340.7699999999995,4,4,5,445,Champions,1,False
62,12409,79,7,23419.29,3,4,5,345,Loyal Customers,1,False
63,12410,309,3,1013.71,2,3,3,233,At Risk,0,True
64,12411,410,1,346.9,2,1,2,212,Hibernating,0,True
65,12412,75,6,2596.93,3,4,4,344,Loyal Customers,1,False
66,12413,67,4,999.45,3,3,3,333,Potential Loyalists,1,False
67,12414,217,6,952.41,2,4,3,243,At Risk,1,True
68,12415,24,28,144458.37,4,5,5,455,Champions,2,False
69,12416,657,1,202.56,1,1,1,111,Hibernating,0,True
70,12417,3,20,6797.41,5,5,5,555,Champions,1,False
71,12418,113,4,2021.2,3,3,4,334,Potential Loyalists,1,False
72,12419,386,2,503.01,2,2,2,222,At Risk,0,True
73,12420,64,1,600.39,3,1,2,312,Promising,1,False
74,12421,16,6,1098.6,5,4,3,543,Loyal Customers,1,False
75,12422,96,17,5231.8,3,5,5,355,Loyal Customers,1,False
76,12423,1,10,2622.39,5,5,4,554,Champions,1,False
77,12424,163,4,3340.03,3,3,5,335,Potential Loyalists,1,False
78,12425,78,2,1741.41,3,2,4,324,Potential Loyalists,1,False
79,12426,195,2,1345.21,2,2,4,224,At Risk,1,True
80,12427,22,3,825.8,4,3,3,433,Potential Loyalists,1,False
81,12428,26,9,7956.46,4,5,5,455,Champions,1,False
82,12429,9,8,6204.41,5,4,5,545,Champions,1,False
83,12430,43,1,256.4,4,1,1,411,Recent Customers,1,False
84,12431,36,27,10432.22,4,5,5,455,Champions,1,False
85,12432,43,5,5059.32,4,4,5,445,Champions,1,False
86,12433,1,10,16794.14,5,5,5,555,Champions,1,False
87,12434,85,3,1103.43,3,3,3,333,Potential Loyalists,1,False
88,12435,80,6,13925.93,3,4,5,345,Loyal Customers,1,False
89,12436,100,1,509.01,3,1,2,312,Promising,1,False
90,12437,2,39,12683.4,5,5,5,555,Champions,1,False
91,12438,14,2,2906.85,5,2,4,524,Potential Loyalists,1,False
92,12439,683,2,1142.88,1,2,3,123,At Risk,0,True
93,12440,462,2,859.2,1,2,3,123,At Risk,0,True
94,12441,367,1,173.55,2,1,1,211,Hibernating,0,True
95,12442,3,1,172.06,5,1,1,511,Recent Customers,1,False
96,12443,732,1,485.31,1,1,2,112,Hibernating,0,True
97,12444,21,5,5005.46,4,4,5,445,Champions,1,False
98,12445,22,2,434.98,4,2,2,422,Potential Loyalists,1,False
99,12446,58,1,1002.3100000000001,4,1,3,413,Recent Customers,1,False
100,12447,243,1,476.49,2,1,2,212,Hibernating,1,True
101,12448,44,1,449.45,4,1,2,412,Recent Customers,1,False
102,12449,22,6,4835.89,4,4,5,445,Champions,1,False
103,12450,156,5,688.2,3,4,3,343,Loyal Customers,1,False
104,12451,11,8,12669.88,5,4,5,545,Champions,1,False
105,12452,17,2,430.57,5,2,2,522,Potential Loyalists,1,False
106,12453,134,1,707.09,3,1,3,313,Promising,1,False
107,12454,56,5,16679.78,4,4,5,445,Champions,1,False
108,12455,73,10,5879.95,3,5,5,355,Loyal Customers,1,False
109,12456,44,3,3181.04,4,3,5,435,Potential Loyalists,1,False
110,12457,66,8,2995.91,3,4,5,345,Loyal Customers,1,False
111,12458,71,4,1777.49,3,3,4,334,Potential Loyalists,1,False
112,12459,605,1,454.36,1,1,2,112,Hibernating,0,True
113,12460,456,1,326.65,1,1,2,112,Hibernating,0,True
114,12461,94,2,826.88,3,2,3,323,Potential Loyalists,1,False
115,12462,19,2,1189.59,5,2,3,523,Potential Loyalists,1,False
